,cid,votes,time,含girl,含girl中文翻译
32675,Ugy800mmFiW5Y1YrP-N4AaABAg,3400,4 years ago (edited),"100% unique cooking
99% nature 
100% relaxing music 
120% beautiful girl and with her talent
30% animal


yeah i'm done","100％独特的烹饪
99％的性质
100％放松音乐
120％美丽的女孩和她的才华
30％动物


是的，我完成了"
34566,UgwsmwvcLDkPPQyKcIB4AaABAg,1100,4 years ago,5:58 the girl jumps back and shouts and the grandma just stood there not flinching at all. ๐๐๐,5:58女孩跳了起来，大喊，祖母站在那儿根本没有退缩。
19805,UgyTQdr4ht2C6TjRvft4AaABAg,831,3 years ago (edited),"when everything is so perfect it almost feels unreal and like a fantasy. those people who think her labour is fake, i guess they're so used to getting dissapointment from life, that its unreal to them that one girl can be so amazing and live in a life that looks like a fantasy.",当一切都如此完美时，它几乎感觉不真实，就像幻想一样。那些认为她的劳动是假的人，我想他们是如此习惯于从生活中丧生，以至于对他们来说是不真实的，以至于一个女孩可以如此神奇，生活在看起来像幻想的生活中。
35814,UgxA7fqSFSw88yd25Ql4AaABAg,721,4 years ago,"i feel ashamed as a girl. she's beautiful, independent, and skillful",我作为一个女孩感到羞耻。她美丽，独立和熟练
2615,UgyZ3q6ap-2iPQZR5dV4AaABAg,711,1 year ago,"anyone else got the feeling of a magical story come to life straight out of a book or a movie or something? some people want money, riches and stuff.... others want what this beautiful girl has: family, love and appreciation of everything that surrounds her. not to mention the gorgeous way the 2 little dogs and the sheep that are following her everywhere ❤️. i love everything about what i just saw: the love they have in this family, where they live, how organized they are... everything! god bless you all ❤️",还有其他人感觉到一个神奇的故事的感觉直接从书籍，电影之类的东西中栩栩如生？有些人想要钱，有钱和东西。...其他人想要这个美丽的女孩拥有的东西：家庭，爱与欣赏周围的一切。更不用说两只小狗和跟随她到处的绵羊的华丽方式。我喜欢我刚刚看到的一切：他们在这个家庭中拥有的爱，他们居住的地方，他们的组织方式……一切！上帝保佑你们所有❤️
7305,Ugxbf2_7_rr9S72PRON4AaABAg,702,2 years ago,"i can tell you, o beautiful girl, that you are a gift from heaven from the lord of the worlds! <3",美丽的女孩，我可以告诉你，你是来自世界之王的天堂的礼物！ <3
7523,Ugz33gk2n58Ad39Ysvt4AaABAg,701,2 years ago,"you could dump this girl in the wilderness, and you'd come a year later to see that she already has a furnished house, eats nutritious meals, and has befriended and domesticated the animals xd

i love this channel so much.","您可以在荒野中丢弃这个女孩，一年后，您会看到她已经有家具屋子，吃了营养餐，并与动物成为了XD的朋友和驯化

我非常喜欢这个频道。"
42956,UgwAj8uciEHxoCx5Afd4AaABAg,479,4 years ago,i’m so glad youtube suggested me this video! it’s for sure among the most beautiful videos i’ve ever watched. everything is so carefully done and the editing is so sensible. i’m just in love with the channel. and the girl who cooks and does everything (haven’t found out her name yet) is precious. she looks like a green/forest fairy... please keep doing this amazing job :),我很高兴YouTube建议我这个视频！可以肯定的是，这是我看过的最美丽的视频。一切都非常小心，编辑是如此明智。我只是爱上了频道。做饭和做所有事情的女孩（尚未找到她的名字）是宝贵的。她看起来像个绿色/森林仙女...请继续做这项出色的工作:)
36216,Ugw3qr-9--BZV3PyiBJ4AaABAg,426,4 years ago,even a millionier will feel jealousy with your lifestyle dear...very hard-working girl.!! โฎ๏ธ,即使是百万富翁也会对您的生活方式感到嫉妒...非常勤奋的女孩。 ☮️
4563,Ugya9YO3LoSnRIr1DWR4AaABAg,387,1 year ago,is there anything this girl can’t do . such a inspiration i learn so much from you thank you,这个女孩做不到吗？我从你那里学到了很多灵感，谢谢你
36470,UgyvmxmPJmXATBXTYnV4AaABAg,306,4 years ago,"her whole family can be prop by. such a talented girl.






i love you! intersection","Her whole family can be proud of her. Such a talented girl. 






我爱你！！"
36766,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx8uUymXj5Q1d,220,4 years ago,"i think of harvest moon every time i see her videos! seriously though, she's maxed out all her stats and ascended to god tier girl.",每次看到她的视频时，我都会想到收获月亮！认真地说，她最大程度地提出了所有的统计数据，并登上了上帝层的女孩。
11562,UgzV9_5Gzc-peiVcKK94AaABAg,195,2 years ago (edited),"thatโ€s the most hardworking girl iโ€ve ever seen. i want to have her talent and sweet, patient temperament.",那是我见过的最勤奋的女孩。我想拥有她的才华和甜美，耐心的气质。
18728,UgyJG2fKVoOMMVW2Pmt4AaABAg,178,3 years ago,"the way she loves and cares for her grandma is so wonderful, this girl is a true treasure !❤️",她喜欢和关心祖母的方式是如此美妙，这个女孩是一个真正的宝藏！❤️
44595,UgwrDbC6fT5Dglnm0eF4AaABAg,178,4 years ago,"i’m amazed every time by her. she is the hardest working girl i’ve ever seen (sure there are many others but speaking for myself). beautiful life, beautiful being, and beautiful work. ❤️",每次她都会惊讶。她是我见过的最努力的女孩（确定还有很多其他人，但为我自己说话）。美丽的生活，美丽的存在和美丽的工作。 ❤️
16508,UgwndTs4wucNgNjt5x94AaABAg,171,3 years ago,this girl is a perfect miracle... a hard past and now look at her... she’s living a happier life... she is my idol!,这个女孩是一个完美的奇迹...一个艰难的过去，现在看着她……她过​​着更快乐的生活……她是我的偶像！
33764,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd48vg79vEiJqM,167,4 years ago,"yes. that's what i thought and felt too. it looks amazing but also it's alot of hard work. who works on the fields, planting, watering, who cuts the trees, who prepares the fire places, cleans up all the tools, cleans the kitchen, the oven after cooking. in the video, we only see the romantic side, with a very bussy beautiful girl. it's a professional production and a bit like a fairytale.",是的。那就是我的想法和感觉。看起来很棒，但也很多辛勤工作。谁在田野上工作，种植，浇水，砍伐树木的人，准备大火，清理所有工具，清洁厨房，烹饪后烤箱。在视频中，我们只看到一个浪漫的一面，有一个非常繁忙的美丽女孩。这是一种专业的作品，有点像童话。
40550,UgyUVF-ukZhG5S_N7a54AaABAg,164,4 years ago,"her youtube channel is only 1 year old and she already has 3m subscribers and more that 1m views on every single video, some of them have more that 5m views.this girl is amazing!",她的YouTube频道只有1岁，她已经拥有300万订阅者，并且在每个视频中有100万次观看次数，其中一些视频具有5m的视图。这个女孩真是太神奇了！
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,4 years ago,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
21649,Ugz8JcIkTaDadZUfaAt4AaABAg,133,3 years ago,"the rural girls in a mountain in mianyang, sichuan, my hometown, lost their parents in a few years, and brought them by grandparents. life was bumpy, but through hard work, she succeeded, and a great child.",我家乡四川绵阳一大山里的农村女孩，几岁就失去父母，由爷爷奶奶带大。一生坎坷，但她通过努力，成功了，很了不起的孩子。
33679,UgzWN181mjwUa1cYTEF4AaABAg,122,4 years ago,"fairy tales type of girl, beautiful hardworking...
you are real cinderella...
your house, garden , forest., utensils , everything is like a fairy tale story...","童话类型的女孩，美丽的勤奋...
你是真正的灰姑娘...
您的房子，花园，森林，餐具，一切都像一个童话故事..."
21008,UgxAvEm9E-OR-TCgCHd4AaABAg,114,3 years ago,when you can smell all the foods she cooks while watching. this girl is really really good at cooking.,当您可以在观看时闻到她烹饪的所有食物时。这个女孩真的很擅长做饭。
13223,UgwnJv93RAGgwj5NRf94AaABAg,99,2 years ago,she is a brilliant girl because she knows everything. she is hardworking girl.,她是一个聪明的女孩，因为她知道一切。她是勤奋的女孩。
51691,UgzJF68EYULJZmn7f5l4AaABAg,97,4 years ago,happy chinese new year my motivated girl ❤❤❤ wish you luck in your life.,春节快乐，我的积极进取的女孩❤❤❤祝你一生好运。
22352,UgzLYsI9CIkRk3uK2TN4AaABAg,93,3 years ago,every time i feel lazy. i watch this girl and it inspires me to work harder..,每次我感到懒惰。我看着这个女孩，这激发了我的努力。
19430,UgwpepipdU3nh_-URFF4AaABAg,82,3 years ago,this girl deserves the game for her struggle and hard work . i mean who the hell disliked her video . love from india,这个女孩应该为她的斗争和辛勤工作而获得比赛。我的意思是谁不喜欢她的视频。来自印度的爱
25683,Ugxwxl0rWPEg8TGb1Gd4AaABAg,80,3 years ago,"i don't understand! why is such a sincere and kind girl who work hard to take a video alone and some people will follow the negative reviews.
ziyi, don't be discouraged! compared to negative evaluations, it is hundreds of times the negative review!
i am your fan in taiwan
you are so amazing, you will do everything
come on ๏ธ ๏ธโฅ ๏ธ โฅ ๏ธ","我不懂！为什么这么真诚善良的女孩，这么努力自己一个人独自拍下的视频会有人按负评
子柒，别气馁！比起负评的，按赞的可是负评的上百倍！
我是妳台湾的粉丝喔
妳好厉害，什么都会做
加油♥️♥️♥️"
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,3 years ago (edited),"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
2963,UgxNvbg3jVHWU7L27AB4AaABAg,75,1 year ago,"i admire you, beautiful girl! you are an extraordinary sorceress! give the lord to your health, your grandmother. you are a huge female happiness! i constantly watch all your issues, naturally signed. how i want to visit such a place, get acquainted with you, to adopt something interesting for yourself. live happily and happily, beauty",我很欣赏你，美丽的女孩！你是一个非凡的女巫！给予主，使您的健康，祖母。你是一个巨大的女性幸福！我不断地观察您的所有问题，自然而然地签名。我想如何去这样的地方，结识您，为自己采用有趣的东西。幸福快乐地生活，美丽
26723,Ugz6QOTzmnKwsIwRGnZ4AaABAg,75,3 years ago (edited),"the picture quality is so good. not to forget, this girlโ€s cooking and handicrafts skill is great too.",图片质量太好了。不要忘记，这个女孩的烹饪和手工艺技能也很棒。
