,cid,votes,time,含super,含super中文翻译
34949,UgxHJ5YCpiZzJNrJhHp4AaABAg,141,4 years ago (edited),"this channel is really awe inspiring. from the cooking and food presentation, and the music chosen. totally transports me to a fantastical realm. the production is really top quality. super fan here thank you!",这个频道确实令人鼓舞。从烹饪和食物演示以及选择的音乐中。完全把我带到了一个梦幻般的领域。生产确实是最优质的。超级粉丝在这里谢谢！
9712,UgyocxsR202i9r_0kvJ4AaABAg.9GukARbN8zo9H-bByCbp4x,90,2 years ago,"in my humble opinion maybe it's because by default we humans used to live like that way, to peacefully co exist with our surroundings. we're trapped in a society where we live for work and superficial power and success. maybe we just gotta accept that those things weren't really our nature but to rather live peacefully just like her would be much more fulfilling eh?",我的拙见，也许是因为默认情况下，我们人类曾经像这样生活，与周围环境保持和平。我们被困在一个生活，肤浅的力量和成功的社会中。也许我们只能接受那些事情并不是我们的本性，而是像她一样和平地生活，就像她更充实吗？
15678,UgzRD_h-oSYNTld1II54AaABAg,64,3 years ago,she told me how to make those food from nature materials. we grow up in city and only know buy food from supermarket,她告诉我如何从自然材料中制作这些食物。我们在城市长大，只知道从超市购买食物
21207,UgxPn91sUsWYBwhEF1J4AaABAg.93uKWsEplVV93x_937hx_a,60,3 years ago (edited),elns watching people making popcorn like that was one of the happiest things in my childhood. back then we had very few snacks or food. the popcorn guy walked town to town. when he came to our neighborhood we were really happy. we brought our own rice or corn kernel and only paid him several cents for making popcorn. he roasted his tightly sealed pot over fire. at the end he released the lid and it made a super loud sound. and we the children just jumped away with laughter.,Elns看着人们做爆米花的人是我童年时代最快乐的事情之一。那时我们有很少的小吃或食物。爆米花的家伙走到城镇。当他来到我们附近时，我们真的很高兴。我们带来了自己的米饭或玉米仁，只付了他的几分钱来制作爆米花。他在火上烤了紧密密封的锅。最后，他释放了盖子，它发出了超大的声音。我们的孩子们只是大笑起来。
32346,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w3UpqCH91W,54,4 years ago,"cinnamonsanimations ye
they mean like what did she do to you to deserve to be stuck in an island with you lmao cause she is super useful and you wouldn't know how to do anything (it wasn't supposed to be offensive just as a joke)","cinnamonsanimations ye
他们的意思是像她对你所做的事情一样，应该和你一起被困在一个岛上，因为她超级有用，你不知道该怎么做（这不是一个笑话）"
5353,Ugw9qSllZNA1GjZvx614AaABAg,41,1 year ago,liziqi is a super women.she can do everything very easily.,Liziqi是一个超级女性，她可以轻松地做所有事情。
49623,UgyttGahljrnTQjVq3Z4AaABAg,36,4 years ago,super yummy! in méxico we have same candies! wow we have a lot in comun,超级美味！在墨西哥，我们有同样的糖果！哇，我们在comun中有很多东西可能是因为美丽的事物在人类中是一个人！
35700,Ugw4vMv4BFU05Ku0vQd4AaABAg,29,4 years ago,girl sorceress. how she easily cooks. appetizing. everything is natural. super.,女孩女巫。她如何轻松做饭。开胃。一切都是自然的。极好的。
42318,UgyM-ejHSy0j2UMeM214AaABAg,27,4 years ago,this how chinese became super power .i like your dedication .appreciated,这是中国人的超级力量。我喜欢你的奉献精神。
25681,Ugy-FaJ7VGenIajsHHp4AaABAg,26,3 years ago,"there are a lot of fans abroad ...
ziyi's video is really super high quality","国外的粉丝好多..
子柒的影片真的超级优质"
41594,Ugz9a7mAhI2vxp5l7Sx4AaABAg,25,4 years ago,"live, work ... only good! why do we need wars on earth? to be very rich? but isn’t such a life for all people? why be super -rich? we could live like this! good!",生活，工作...只好！为什么我们需要地球上的战争？非常有钱？但这不是所有人的生活吗？为什么要变得超级富裕？我们可以这样生活！好的！
52301,UgxO6bnL_toesqk1WSZ4AaABAg,21,4 years ago,become a world superstar with a knife,凭一把刀成为世界巨星
50842,UgxwoMNpgSY2m8P1KpJ4AaABAg,18,4 years ago,"super, goodbye prepared, you can open an online store =)",超级，再见，您可以开设一家在线商店=）
6051,UgxWBJXD4nCAGUVz3_d4AaABAg,16,2 years ago,the way she freaked out when the popcorn making thing blown up that was super cute,当爆米花炸毁的东西超级可爱时，她吓坏了
31264,UgwBHMGguXljvNp565V4AaABAg,16,3 years ago,this is what everyone had been dreams of. live in the village with all we need. super talented girl thumbs up ๐‘๐‘,这就是每个人都是梦想的。我们所需要的一切都住在村庄。超级才华的女孩大拇指
33270,UgzYAPal7GjkZkDP3yZ4AaABAg,13,4 years ago,"the best youtube channel with great music,cinematography,beauty young girl& super talented&cooking",最好的YouTube频道，具有出色的音乐，摄影，美丽的年轻女孩和超级才华和烹饪
25482,Ugxe4RkrzLKXChm5AUh4AaABAg,13,3 years ago,"this comment thread is like an international love festival.

she is amazing. it does seem like all that work would take several people several days, at a minimum, and they'd be pretty spent, but hey . . .

i've tried to make many things from scratch. maybe i lacked training and super-natural vitality, but it seemed a whole lot harder than that.","这个评论线程就像一个国际爱情节。

她很棒。似乎所有的工作都将花几天的时间至少需要几天的时间，而且它们的花费很漂亮，但是。 。 。

我试图从头开始做很多事情。也许我缺乏训练和超自然的活力，但似乎比这要困难得多。"
35717,UgwzksranQ1ipyZUEqB4AaABAg.8uaXQ921Lhd8uf-XTI2_dj,10,4 years ago,she actually made that oven herself. made the clay and frame and everything. super cool!,她实际上自己做了烤箱。使粘土和框架以及一切。超酷！
33057,UgyTWmyBvRkc3cSrLPF4AaABAg.8vVYJy8QOaA8w1bVBa2bJP,10,4 years ago,"@greyfoxidk1840 even if she was cooking lamb, isnt it better to eat animals raised in such an environment? i am a vegetarian, but i have absolutely nothing against eating animals that lived such a good life. it is much more humane than trying to ignore the fact that meat is an animal and to just buy something packed in plastic from the supermarket....",@greyfoxidk1840即使她在烹饪羔羊，在这样的环境中吃饲养的动物也不会吗？我是素食主义者，但我绝对没有什么可以反对吃着如此美好生活的动物。这比试图忽略肉是动物而只是从超市里装满塑料的东西的事实要多得多。
19034,UgwjDtkkGG63jTlFxvZ4AaABAg,9,3 years ago,"please translation (spanish, mexico) and equally the ingredients, greetings i am super fan of yours!",请翻译（西班牙语，墨西哥）以及同样的成分，问候，我是您的超级粉丝！
